Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Revenue,Age Group,Is High Value,Loyalty Score,Discount Used,Season_Num,Customer Segment,Segment Name
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,53,35-49,0,65,1,2,0,Loyal High-Spenders
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,21,50-64,0,45,1,3,2,Occasional Buyers
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,43,50-64,0,65,1,2,2,Occasional Buyers
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,54,50-64,0,56,1,4,0,Loyal High-Spenders
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,55,35-49,0,58,1,2,2,Occasional Buyers
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,30,65+,0,54,1,1,0,Loyal High-Spenders
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,28,35-49,0,59,1,1,2,Occasional Buyers
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,59,50-64,0,27,1,4,0,Loyal High-Spenders
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,20,35-49,0,46,1,2,2,Occasional Buyers
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,24,25-34,0,55,1,4,2,Occasional Buyers
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,94,35-49,1,55,1,2,0,Loyal High-Spenders
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,28,35-49,0,69,1,4,2,Occasional Buyers
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,73,35-49,0,66,1,2,0,Loyal High-Spenders
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,64,18-24,0,37,1,2,0,Loyal High-Spenders
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,54,65+,0,49,1,2,0,Loyal High-Spenders
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,79,50-64,0,24,1,1,0,Loyal High-Spenders
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,37,50-64,0,37,1,2,0,Loyal High-Spenders
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,68,50-64,0,41,1,4,0,Loyal High-Spenders
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,21,25-34,0,51,1,1,2,Occasional Buyers
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,79,25-34,0,63,1,4,2,Occasional Buyers
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,83,65+,0,38,1,3,0,Loyal High-Spenders
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,36,65+,0,64,1,1,0,Loyal High-Spenders
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,94,25-34,1,23,1,4,0,Loyal High-Spenders
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,33,35-49,0,69,1,4,0,Loyal High-Spenders
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,46,50-64,0,41,1,2,0,Loyal High-Spenders
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,70,35-49,0,25,1,2,0,Loyal High-Spenders
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,29,18-24,0,52,1,3,0,Loyal High-Spenders
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,48,35-49,0,54,1,2,2,Occasional Buyers
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,26,18-24,0,41,1,4,2,Occasional Buyers
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,85,35-49,1,63,1,1,2,Occasional Buyers
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,58,35-49,0,23,1,1,0,Loyal High-Spenders
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,85,50-64,1,41,1,2,2,Occasional Buyers
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,43,50-64,0,52,1,2,0,Loyal High-Spenders
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,53,18-24,0,56,1,2,2,Occasional Buyers
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,91,50-64,1,70,1,1,0,Loyal High-Spenders
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,96,35-49,1,63,1,4,2,Occasional Buyers
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,72,18-24,0,44,1,2,0,Loyal High-Spenders
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,96,65+,1,56,1,2,2,Occasional Buyers
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,28,18-24,0,41,1,1,0,Loyal High-Spenders
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,40,35-49,0,54,1,2,0,Loyal High-Spenders
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,32,50-64,0,62,1,1,0,Loyal High-Spenders
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,95,50-64,1,22,1,4,0,Loyal High-Spenders
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,41,18-24,0,67,1,1,2,Occasional Buyers
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,53,50-64,0,64,1,3,2,Occasional Buyers
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,47,25-34,0,55,1,3,2,Occasional Buyers
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,83,35-49,0,35,1,3,0,Loyal High-Spenders
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,48,25-34,0,49,1,2,2,Occasional Buyers
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,99,35-49,1,38,1,4,0,Loyal High-Spenders
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,87,50-64,1,33,1,4,0,Loyal High-Spenders
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,62,35-49,0,66,1,3,0,Loyal High-Spenders
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,76,50-64,0,48,1,1,0,Loyal High-Spenders
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,100,35-49,1,68,1,3,0,Loyal High-Spenders
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,73,25-34,0,63,1,1,2,Occasional Buyers
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,92,18-24,1,57,1,4,0,Loyal High-Spenders
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,67,18-24,0,40,1,1,2,Occasional Buyers
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,40,25-34,0,53,1,2,2,Occasional Buyers
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,98,50-64,1,51,1,3,2,Occasional Buyers
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,85,25-34,1,70,1,1,0,Loyal High-Spenders
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,67,50-64,0,55,1,4,0,Loyal High-Spenders
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,89,50-64,1,42,1,4,0,Loyal High-Spenders
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,24,50-64,0,21,1,1,0,Loyal High-Spenders
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,96,65+,1,24,1,3,0,Loyal High-Spenders
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,35,50-64,0,51,1,2,2,Occasional Buyers
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,67,25-34,0,66,1,4,2,Occasional Buyers
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,79,65+,0,52,1,1,2,Occasional Buyers
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,85,50-64,1,63,1,1,2,Occasional Buyers
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,26,50-64,0,46,1,2,0,Loyal High-Spenders
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,75,25-34,0,29,1,2,0,Loyal High-Spenders
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,65,35-49,0,48,1,1,0,Loyal High-Spenders
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,54,35-49,0,40,1,4,2,Occasional Buyers
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,95,65+,1,29,1,2,0,Loyal High-Spenders
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,94,50-64,1,68,1,1,0,Loyal High-Spenders
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,86,50-64,1,32,1,1,2,Occasional Buyers
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,32,50-64,0,49,1,2,0,Loyal High-Spenders
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,45,50-64,0,47,1,3,0,Loyal High-Spenders
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,76,35-49,0,64,1,3,0,Loyal High-Spenders
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,84,50-64,1,52,1,2,0,Loyal High-Spenders
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,72,18-24,0,31,1,4,0,Loyal High-Spenders
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,40,35-49,0,64,1,1,0,Loyal High-Spenders
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,89,50-64,1,66,1,3,2,Occasional Buyers
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,86,35-49,1,70,1,1,2,Occasional Buyers
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,54,35-49,0,65,1,4,2,Occasional Buyers
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,36,35-49,0,68,1,1,2,Occasional Buyers
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,89,18-24,1,46,1,4,0,Loyal High-Spenders
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,32,18-24,0,41,1,1,0,Loyal High-Spenders
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,67,18-24,0,69,1,2,0,Loyal High-Spenders
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,39,35-49,0,33,1,3,2,Occasional Buyers
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,29,25-34,0,66,1,2,2,Occasional Buyers
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,58,25-34,0,62,1,3,0,Loyal High-Spenders
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually,65,50-64,0,45,1,4,2,Occasional Buyers
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly,94,35-49,1,45,1,3,0,Loyal High-Spenders
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly,81,35-49,0,32,1,3,0,Loyal High-Spenders
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,86,35-49,1,24,1,4,2,Occasional Buyers
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly,43,65+,0,58,1,1,0,Loyal High-Spenders
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly,29,65+,0,62,1,4,0,Loyal High-Spenders
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually,95,35-49,1,50,1,3,0,Loyal High-Spenders
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly,28,50-64,0,70,1,3,2,Occasional Buyers
